Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82076,3.14909894913406,3.16986251408784,1.17208003997802,71.5001099109649,threshold=0.7777,k=135,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82073,3.16231237822152,3.16997188719718,1.17310881614685,73.0002210140228,threshold=0.7777,k=137,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82066,3.15371976696327,3.17505918632167,1.19305181503295,74.2312951087951,threshold=0.7777,k=139,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8209,3.14717223866356,3.17390620973396,1.19311404228210,73.8952140808105,threshold=0.7777,k=141,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82097,3.15719038139722,3.17415514541030,1.17906999588012,73.9402611255645,threshold=0.7777,k=143,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82067,3.15515230483616,3.16510921913242,1.19602608680725,74.4483349323272,threshold=0.7777,k=145,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82079,3.16270213061065,3.16660929315568,1.17710995674133,74.2342379093170,threshold=0.7777,k=147,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82084,3.16043508103227,3.17037579974224,1.20307111740112,75.6994199752807,threshold=0.7777,k=149,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82106,3.16253268750112,3.16898750095999,1.18006801605224,76.0774428844451,threshold=0.7777,k=151,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82102,3.14233596527088,3.17475413643973,1.17802596092224,76.9074890613555,threshold=0.7777,k=153,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82093,3.15359028907684,3.17561018840087,1.18210601806640,78.1525099277496,threshold=0.7777,k=155,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82078,3.15870403726069,3.17470201484730,1.19506788253784,77.9085080623626,threshold=0.7777,k=157,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8209,3.16163496862298,3.17544139421822,1.17701411247253,78.3805189132690,threshold=0.7777,k=159,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82064,3.15910420862371,3.17876154839495,1.17406702041625,79.0705158710479,threshold=0.7777,k=161,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8206,3.17157710991818,3.17864453207496,1.17610907554626,79.2555937767028,threshold=0.7777,k=163,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82074,3.17820284602400,3.17969071041068,1.20905995368957,80.3286402225494,threshold=0.7777,k=165,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82064,3.17810229531321,3.18066557342591,1.18508577346801,80.9666020870208,threshold=0.7777,k=167,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82059,3.17734769846751,3.17761893854708,1.19609284400939,77.8794670104980,threshold=0.7777,k=169,p=1,None,None,None,None,None,None,None,None,None,None
